;means;sd;sr
288;0.940722273;3.272118267;0.287496415
289;2.113061985;7.215237945;0.292861026
290;0.972922106;3.670839659;0.265040753
291;0.979346178;3.247822348;0.301539331
292;1.240022944;3.823997495;0.324273995
293;0.983523334;3.408819432;0.288523154
294;1.032762612;3.405828116;0.303233921
295;0.92320654;3.345150815;0.275983533
296;1.117073047;3.896565276;0.286681466
297;0.99443166;3.436791707;0.28934883
298;0.973633665;3.569176357;0.272789453
299;1.096013574;3.482193685;0.314748022
300;3.87166765;15.72518804;0.246208035
301;0.966652017;3.66414287;0.263813954
302;1.669799191;5.654845683;0.295286429
303;0.590899612;2.061439291;0.286644198
304;0.929007333;3.330689377;0.278923438
305;0.841113548;3.450120001;0.243792549
306;1.177837301;3.838933143;0.306813705
307;0.998754741;3.427866998;0.291363329
308;1.078223577;3.09803943;0.348034169
309;1.141509152;3.939236572;0.289779284
310;1.205689275;3.741366117;0.322259099
311;2.045198216;7.223624246;0.283126329
312;0.984300136;2.974335805;0.330931072
313;0.808641804;2.899799713;0.278861261
314;1.224654729;4.197205303;0.29177861
315;1.087414406;3.734619696;0.29117139
316;1.281926045;4.203178568;0.30498967
317;1.231151139;4.888209465;0.251861371
318;2.259106319;7.624727222;0.296286838
319;1.204201959;4.07709575;0.295357782
320;1.132678541;3.516739749;0.322081991
321;1.111557709;3.784481353;0.293714675
322;1.112152688;3.960574742;0.280805883
323;1.002483605;3.234453388;0.30993911
324;1.011206774;3.935874364;0.256920491
325;1.229784239;3.81401872;0.322437914
326;1.027613471;3.542365436;0.290092451
327;1.321982043;4.370570798;0.302473545
328;0.795850683;2.791880957;0.28505896
329;1.559788205;5.335529919;0.292339885
330;0.907344508;3.444161748;0.263444221
331;1.131260186;4.74429292;0.23844653
332;1.060139568;3.279889013;0.32322422
333;1.244778406;4.274018156;0.291243126
334;1.026879115;3.564907518;0.288052105
335;0.883359125;3.28478822;0.268924225
336;1.710830597;5.756504498;0.297199559
337;1.040837847;4.472457209;0.232721701
338;2.141783699;7.111090803;0.301189193
339;0.97136368;4.411405412;0.2201937
340;0.885427977;2.948803913;0.300266821
341;0.844200963;3.079568978;0.274129584
342;1.120383997;3.732413277;0.300176833
343;1.332933759;4.644642784;0.286983052
344;1.034313287;3.86108104;0.267881787
345;1.158437346;3.654362883;0.31700118
346;1.056514809;3.224116214;0.327691293
347;1.081844505;3.964463786;0.272885455
348;1.044727306;3.822486886;0.273310893
349;0.946683013;2.937058194;0.322323547
350;0.882624993;2.950830783;0.299110677
351;1.140052327;3.060157917;0.372546894
352;1.368676939;4.566340649;0.299731677
353;1.254102252;4.013909087;0.312439127
354;1.287879951;4.352202972;0.295914497
355;1.017506615;3.550805788;0.286556538
356;1.305161913;4.68513219;0.278575259
357;1.175590767;3.997455526;0.294084765
358;1.083043538;3.309749639;0.327228237
359;1.18116517;3.924498645;0.300972246
360;1.123134003;3.880697697;0.289415484
361;0.849995016;2.605601661;0.326218328
362;0.838955784;3.292030587;0.254844468
363;0.933322594;2.982457729;0.312937409
364;1.003857896;3.322325742;0.302155169
365;2.008183328;6.401902572;0.313685394
366;0.833520574;3.135108888;0.265866547
367;1.12693831;3.77799475;0.298290068
368;0.894243759;3.304468616;0.270616508
369;0.963255142;3.044212822;0.316421748
