Date;interros;elektroenergetiki;almaznaya_osen;promagrofond;sberbank;hantimansiask;tnk-vladimir;raiffaisen;bolshoi;telekom-souz;stroikompleks;tvoya_opora;evrazia_plus;dobrodetel;nationalnyi;initiativa;socrazvitie;doverie;socium;mosenergo;regionfond;transneft;oboronnopromofond;perviy_promalyans;uralosibirskij;pensionnaykassa;ugkmkperspektiva;mejregionalniy;kitfinance;gazfond;blagosostoyanie;lukoil_garant;surgutneftegaz;soglasie;neftegarant;atomfond
29/08/2013;-0.593303457;-1.067261484;-0.378377094;-0.801180646;-0.313694251;-1.312755556;-3.675231888;-0.611211248;-3.603994368;0.538425979;-6.661399034;-0.083698196;0.124984594;-0.057086706;-0.613901752;-0.016765097;-0.08657181;-0.30847364;-1.40342235;-0.011999966;-0.161294345;-0.495670868;-0.588672528;-0.096123423;-0.372305461;-0.368567011;-0.276745613;-2.425066268;-0.280937833;0;0;0;0;0;0;0
31/07/2013;0.377427587;-1.085100772;0.708745307;0.242843182;0.448802475;-0.269142057;2.116783511;-0.638112456;1.677666114;0.950334307;5.178695908;0.112434458;-0.327255624;-0.158973508;-0.029095454;-0.334687142;-0.524238267;-0.273880632;-1.254212567;0.084700891;0.255104033;0.965094664;-1.303844802;0.771316208;0.358120877;-1.227872088;0.355811568;0.311563711;-0.478123089;0;0;0;0;0;0;0
28/06/2013;-1.287942585;-1.221804053;-1.103571864;-1.437398577;-0.923992892;-1.989515634;-6.308063591;-0.919825262;-6.05175181;-0.006327904;-11.60484763;-0.432347587;0.808216558;-0.312061332;-1.198415673;-0.032928528;-0.029841055;0.294082561;-1.938608648;-0.330331048;-0.636670752;-1.38650092;-0.652479757;-0.761801801;-1.049299193;0.058351315;-0.838500019;-3.772802185;-0.553562937;0;0;0;0;0;0;0
31/05/2013;-0.702201561;-2.812511489;-0.065320694;-0.888152492;-0.631333134;-2.941321556;0.912756258;-2.2038415;0.353874318;0.386268302;4.642501435;-1.327342028;-0.462676013;-1.229311631;-1.176502726;-1.191023593;-1.426888468;-0.322097342;-3.185340907;-1.16800151;-0.785886026;0.170784368;-2.901634935;0.096967061;-0.603366907;-2.216771447;-0.628930982;-1.018975516;-1.706236077;0;0;0;0;0;0;0
30/04/2013;1.123801439;1.006413682;1.189821048;1.196631123;1.13936108;1.504905655;1.806539889;0.819093861;1.665291632;1.103703341;2.866105748;1.19648087;1.598555664;0.947589693;0.953323595;0.994448316;0.973386159;1.751987013;0.596359065;1.064163004;1.051289376;1.25468881;0.618218153;1.115706441;0.977447588;1.046053785;1.073717897;1.267370905;0.793537528;0;0;0;0;0;0;0
29/03/2013;0.605834534;-0.160642604;0.800198841;0.644324776;0.468930369;-0.177748471;3.135918809;-0.046845358;2.820038645;0.488207022;6.696545977;-0.006340549;0.455331074;0.040954819;0.37761195;0.069964042;-0.001624236;0.792093107;-0.1865823;0.031353323;0.31272936;0.986206151;-0.485205668;0.721402169;0.535978744;-0.197110588;0.464966186;1.49865795;-0.063642603;0;0;0;0;0;0;0
28/02/2013;1.563329895;1.303811598;1.524295685;1.638366776;1.230632721;1.171179765;5.187842609;1.352412338;5.002669452;0.763408752;9.25815345;0.685368237;0.233374174;0.866939039;1.536261816;0.744598786;0.739981679;0.647736554;1.935668311;0.697068552;1.069271058;1.716858257;1.059678114;1.313328929;1.510757969;0.672178501;1.265909166;3.39344692;1.067929091;0;0;0;0;0;0;0
31/01/2013;0.160776291;-0.041393115;0.258411667;-0.088505554;0.476890302;0.050244836;-3.488107661;0.367816889;-3.307178017;1.253159777;-7.531528558;0.906558141;0.303764088;0.826336316;0.228907304;0.725517037;0.669931981;-0.283337334;-0.195928562;0.905538059;0.654429554;0.105457874;0.550712708;0.53846532;0.398950393;0.36807131;0.486828629;-1.860643762;0.675690935;0;0;0;0;0;0;0
28/12/2012;-0.04138855;0.612536571;0.618387254;0.078919496;0.360367104;0.965996292;-3.70449692;0.572818121;-3.261525843;1.450096104;-6.548522845;1.016341863;-6.809182373;1.032892842;0.358426065;-6.951216766;0.586071608;-7.2423381;0.878812983;0.946186881;0.398497624;0.216155397;0.880014876;0.960793653;0.352655643;1.286121309;0.446291463;1.380503931;0.121021875;0;0;0;0;0;0;0
30/11/2012;2.266838312;2.477231438;1.085122028;2.132579163;2.118767365;2.097135043;4.933328908;2.277247237;4.999502665;2.778274282;6.550408653;1.563135582;6.699324757;1.97799066;1.725698563;7.111345674;1.584789758;7.036192044;2.772088814;2.560033694;1.90701813;1.711636335;1.352231755;1.540007291;1.575475508;2.32940314;1.906963313;2.560000082;2.387424095;0;0;0;0;0;0;0
